"","iter","swarm","algorithm","loglikelihood"
"13.5",100,50,"DE",-2862.51047190396
"13.6",100,50,"DE",-2892.03474078349
"13.7",100,50,"DE",-2917.44162279404
"13.8",100,50,"DE",-2856.54644491374
"13.9",100,50,"DE",-2840.34396983034
"14",250,50,"DE",-2802.37916965809
"14.1",250,50,"DE",-2767.80236323005
"14.2",250,50,"DE",-2771.44778598399
"14.3",250,50,"DE",-2768.07703580231
"14.4",250,50,"DE",-2768.29469609783
"14.5",250,50,"DE",-2767.74434237565
"14.6",250,50,"DE",-2772.75329551124
"14.7",250,50,"DE",-2794.89465731331
"14.8",250,50,"DE",-2773.57370677944
"14.9",250,50,"DE",-2774.69982415271
"15",500,50,"DE",-2757.15528593477
"15.1",500,50,"DE",-2756.17878654131
"15.2",500,50,"DE",-2757.1129760977
"15.3",500,50,"DE",-2755.30316699311
"15.4",500,50,"DE",-2757.9694238203
"15.5",500,50,"DE",-2755.33121932861
"15.6",500,50,"DE",-2755.54652109223
"15.7",500,50,"DE",-2756.39464920522
"15.8",500,50,"DE",-2757.93175474444
"15.9",500,50,"DE",-2757.70880038008
"16",750,50,"DE",-2754.98728968641
"16.1",750,50,"DE",-2755.10843730514
"16.2",750,50,"DE",-2755.03317750309
"16.3",750,50,"DE",-2754.89620096471
"16.4",750,50,"DE",-2757.3037130911
"16.5",750,50,"DE",-2754.95624400415
"16.6",750,50,"DE",-2754.89999614113
"16.7",750,50,"DE",-2756.12323449836
"16.8",750,50,"DE",-2755.08318087491
"16.9",750,50,"DE",-2756.06007266147
"17",1000,50,"DE",-2756.87923951762
"17.1",1000,50,"DE",-2754.93273376467
"17.2",1000,50,"DE",-2755.61715145093
"17.3",1000,50,"DE",-2754.84483385362
"17.4",1000,50,"DE",-2757.80096573992
"17.5",1000,50,"DE",-2754.88067228831
"17.6",1000,50,"DE",-2754.90769665458
"17.7",1000,50,"DE",-2762.38024807798
"17.8",1000,50,"DE",-2754.94243314065
"17.9",1000,50,"DE",-2754.84624358318
"18",2000,50,"DE",-2754.88855550037
"18.1",2000,50,"DE",-2754.836860783
"18.2",2000,50,"DE",-2754.82608074164
"18.3",2000,50,"DE",-2754.82992578936
