"","iter","swarm","algorithm","loglikelihood"
"13.6",100,50,"DE",-20794.9818036501
"13.7",100,50,"DE",-21535.0988072769
"13.8",100,50,"DE",-21336.1162382453
"13.9",100,50,"DE",-21530.7636193705
"14",250,50,"DE",-20385.6597972584
"14.1",250,50,"DE",-20621.4186487277
"14.2",250,50,"DE",-20365.8116165149
"14.3",250,50,"DE",-20557.5643007498
"14.4",250,50,"DE",-20616.0075466425
"14.5",250,50,"DE",-20331.0072169949
"14.6",250,50,"DE",-20595.4684615571
"14.7",250,50,"DE",-20401.8927718391
"14.8",250,50,"DE",-20654.7125146021
"14.9",250,50,"DE",-20545.7927573061
"15",500,50,"DE",-19459.3023843107
"15.1",500,50,"DE",-19184.9343934239
"15.2",500,50,"DE",-19430.5193912543
"15.3",500,50,"DE",-19314.492039312
"15.4",500,50,"DE",-19395.5704270156
"15.5",500,50,"DE",-19490.2636561666
"15.6",500,50,"DE",-19451.4205468891
"15.7",500,50,"DE",-19252.1654525875
"15.8",500,50,"DE",-19339.1136861625
"15.9",500,50,"DE",-19331.5004933178
"16",750,50,"DE",-18290.3663734196
"16.1",750,50,"DE",-18527.6077150689
"16.2",750,50,"DE",-18391.633765949
"16.3",750,50,"DE",-18418.8225178032
"16.4",750,50,"DE",-18281.7474486587
"16.5",750,50,"DE",-18609.2805842329
"16.6",750,50,"DE",-18088.1290876089
"16.7",750,50,"DE",-18545.1886298209
"16.8",750,50,"DE",-18493.4959576373
"16.9",750,50,"DE",-18241.9571845823
"17",1000,50,"DE",-17777.6207854512
"17.1",1000,50,"DE",-17807.9932461936
"17.2",1000,50,"DE",-17802.5880816761
"17.3",1000,50,"DE",-17716.2010299962
"17.4",1000,50,"DE",-17672.7480950168
"17.5",1000,50,"DE",-17820.1104707379
"17.6",1000,50,"DE",-17897.50867311
"17.7",1000,50,"DE",-17894.4621058262
"17.8",1000,50,"DE",-17898.8624433991
"17.9",1000,50,"DE",-17714.4865356724
"18",2000,50,"DE",-16764.583276544
"18.1",2000,50,"DE",-16809.1882130213
"18.2",2000,50,"DE",-16771.9773428858
"18.3",2000,50,"DE",-16760.2222759657
"18.4",2000,50,"DE",-16793.9452405524
"18.5",2000,50,"DE",-16832.0161772686
"18.6",2000,50,"DE",-16751.8934775466
"18.7",2000,50,"DE",-16807.2375406529
"18.8",2000,50,"DE",-16794.3820786361
"18.9",2000,50,"DE",-16821.7597391003
"19",100,75,"DE",-21098.8741666351
"19.1",100,75,"DE",-21299.6126859351
"19.2",100,75,"DE",-21516.2485303602
"19.3",100,75,"DE",-21095.7188864793
"19.4",100,75,"DE",-21427.3333523303
"19.5",100,75,"DE",-21463.0961751154
"19.6",100,75,"DE",-21483.0518515586
"19.7",100,75,"DE",-21126.2793151863
"19.8",100,75,"DE",-21214.2714009931
"19.9",100,75,"DE",-21531.0416246131
"20",250,75,"DE",-20850.6315863675
"20.1",250,75,"DE",-20967.5202138965
"20.2",250,75,"DE",-20634.7682691483
"20.3",250,75,"DE",-20646.2674674186
"20.4",250,75,"DE",-20925.9874790926
"20.5",250,75,"DE",-20800.6359837753
"20.6",250,75,"DE",-20890.729167242
"20.7",250,75,"DE",-20876.8066614667
"20.8",250,75,"DE",-20828.0754180892
"20.9",250,75,"DE",-20827.6665276128
"21",500,75,"DE",-19842.7344538478
"21.1",500,75,"DE",-19641.188723888
"21.2",500,75,"DE",-19528.8479827019
"21.3",500,75,"DE",-19999.4867439275
"21.4",500,75,"DE",-19902.9048417584
"21.5",500,75,"DE",-20085.9622616347
"21.6",500,75,"DE",-20135.4912586335
"21.7",500,75,"DE",-19894.7256907162
"21.8",500,75,"DE",-19875.4018940471
"21.9",500,75,"DE",-19984.7919915014
"22",750,75,"DE",-18895.1637316442
"22.1",750,75,"DE",-18954.5194818477
"22.2",750,75,"DE",-18921.5703870545
"22.3",750,75,"DE",-19145.867772114
"22.4",750,75,"DE",-19274.8794602478
"22.5",750,75,"DE",-18904.5249771237
"22.6",750,75,"DE",-19105.2743800617
"22.7",750,75,"DE",-19123.3215543731
"22.8",750,75,"DE",-18966.3979997958
"22.9",750,75,"DE",-19199.6286639103
"23",1000,75,"DE",-18636.1108021927
"23.1",1000,75,"DE",-18778.7600839017
"23.2",1000,75,"DE",-18475.3144351795
"23.3",1000,75,"DE",-18491.6969052879
"23.4",1000,75,"DE",-18665.3307542839
"23.5",1000,75,"DE",-18643.9428870081
"23.6",1000,75,"DE",-18227.922195841
"23.7",1000,75,"DE",-18404.4705446309
"23.8",1000,75,"DE",-18705.0726092443
"23.9",1000,75,"DE",-18550.1999250801
"24",2000,75,"DE",-17045.0529710207
"24.1",2000,75,"DE",-17052.3945188067
"24.2",2000,75,"DE",-16996.6993404474
"24.3",2000,75,"DE",-17155.2636916609
"24.4",2000,75,"DE",-17176.8702958109
"24.5",2000,75,"DE",-16890.4476615061
"24.6",2000,75,"DE",-17117.5747663162
"24.7",2000,75,"DE",-16894.7148799917
"24.8",2000,75,"DE",-17076.3389241923
"24.9",2000,75,"DE",-17028.6886583028
"25",100,100,"DE",-21282.4370438994
"25.1",100,100,"DE",-21445.6900162052
"25.2",100,100,"DE",-21589.3643312279
"25.3",100,100,"DE",-21417.7132176956
"25.4",100,100,"DE",-21390.1288867528
"25.5",100,100,"DE",-20810.0437195771
"25.6",100,100,"DE",-21026.0996460407
"25.7",100,100,"DE",-21507.0888737714
"25.8",100,100,"DE",-21351.3864911137
"25.9",100,100,"DE",-21000.984430184
"26",250,100,"DE",-21090.907960241
"26.1",250,100,"DE",-21154.5372159655
"26.2",250,100,"DE",-20988.399892074
"26.3",250,100,"DE",-20705.4167169635
"26.4",250,100,"DE",-20984.3736568215
"26.5",250,100,"DE",-21165.157384797
"26.6",250,100,"DE",-21160.626765459
"26.7",250,100,"DE",-21222.5605126939
"26.8",250,100,"DE",-20897.2292100456
"26.9",250,100,"DE",-21185.0945984994
"27",500,100,"DE",-20366.6209814622
"27.1",500,100,"DE",-20165.1141198057
"27.2",500,100,"DE",-20265.1921478362
"27.3",500,100,"DE",-20360.7229269684
"27.4",500,100,"DE",-20278.4913386112
"27.5",500,100,"DE",-20253.2947607844
"27.6",500,100,"DE",-20223.8989911028
"27.7",500,100,"DE",-19987.5558218175
"27.8",500,100,"DE",-20349.08616246
"27.9",500,100,"DE",-20336.002050863
"28",750,100,"DE",-19620.0062747106
"28.1",750,100,"DE",-19826.5472074319
"28.2",750,100,"DE",-19422.5720013181
"28.3",750,100,"DE",-19318.3872836031
"28.4",750,100,"DE",-19200.0491568808
"28.5",750,100,"DE",-19345.3550284307
"28.6",750,100,"DE",-19663.1086528457
"28.7",750,100,"DE",-19868.732738659
"28.8",750,100,"DE",-19743.8907160354
"28.9",750,100,"DE",-19338.7576922289
"29",1000,100,"DE",-18988.4600558596
"29.1",1000,100,"DE",-18738.4291625348
"29.2",1000,100,"DE",-19065.4809088915
"29.3",1000,100,"DE",-19045.2296160726
"29.4",1000,100,"DE",-19418.4202797272
"29.5",1000,100,"DE",-18671.6078946068
"29.6",1000,100,"DE",-19285.7910678565
"29.7",1000,100,"DE",-18803.3251090928
"29.8",1000,100,"DE",-19293.845366661
"29.9",1000,100,"DE",-18940.3824664182
"30",2000,100,"DE",-17465.0382062741
"30.1",2000,100,"DE",-17481.5413438733
"30.2",2000,100,"DE",-17579.9135450138
"30.3",2000,100,"DE",-17649.7372263106
"30.4",2000,100,"DE",-17622.5687835429
"30.5",2000,100,"DE",-17228.5772555905
"30.6",2000,100,"DE",-17490.5434889993
"30.7",2000,100,"DE",-17594.7110376074
"30.8",2000,100,"DE",-17290.6392579541
"30.9",2000,100,"DE",-17500.0681620977
"31",100,200,"DE",-21036.0915061822
"31.1",100,200,"DE",-20991.0523212881
"31.2",100,200,"DE",-21046.3658305912
"31.3",100,200,"DE",-21486.3712679414
"31.4",100,200,"DE",-21590.2235832478
"31.5",100,200,"DE",-21410.652638061
"31.6",100,200,"DE",-21446.1618652379
"31.7",100,200,"DE",-21242.3632236933
"31.8",100,200,"DE",-21336.4763456881
"31.9",100,200,"DE",-21751.1946099102
"32",250,200,"DE",-21025.0457176503
"32.1",250,200,"DE",-21260.0056574264
"32.2",250,200,"DE",-21185.2269477164
"32.3",250,200,"DE",-21473.2081272465
"32.4",250,200,"DE",-21491.3882664613
"32.5",250,200,"DE",-21032.9656909175
"32.6",250,200,"DE",-20869.9129116192
"32.7",250,200,"DE",-20868.6241225116
"32.8",250,200,"DE",-21122.7273371273
"32.9",250,200,"DE",-21063.1752726276
"33",500,200,"DE",-20846.9462087622
"33.1",500,200,"DE",-20697.7723269365
"33.2",500,200,"DE",-20813.2908461522
"33.3",500,200,"DE",-20696.7378058803
"33.4",500,200,"DE",-20891.9729785035
"33.5",500,200,"DE",-20836.5589427505
"33.6",500,200,"DE",-20761.9874731909
"33.7",500,200,"DE",-20460.3906243405
"33.8",500,200,"DE",-20989.7517942046
"33.9",500,200,"DE",-20600.6710154253
"34",750,200,"DE",-20337.1432923076
"34.1",750,200,"DE",-20461.6463197713
"34.2",750,200,"DE",-20402.151632029
"34.3",750,200,"DE",-20140.2404566111
"34.4",750,200,"DE",-20204.636294874
"34.5",750,200,"DE",-20298.381150164
"34.6",750,200,"DE",-20268.0277003266
"34.7",750,200,"DE",-20270.4473507112
"34.8",750,200,"DE",-20338.7718115699
"34.9",750,200,"DE",-20605.6298219935
"35",1000,200,"DE",-19988.0812206874
"35.1",1000,200,"DE",-19838.2141943597
"35.2",1000,200,"DE",-19910.4411008044
"35.3",1000,200,"DE",-19651.4710680027
"35.4",1000,200,"DE",-19949.9503144583
"35.5",1000,200,"DE",-20172.2942932815
"35.6",1000,200,"DE",-19746.3286012757
"35.7",1000,200,"DE",-19831.760901067
"35.8",1000,200,"DE",-19770.97405243
"35.9",1000,200,"DE",-19929.1942164653
"36",2000,200,"DE",-18740.1941262844
"36.1",2000,200,"DE",-18651.7473699617
"36.2",2000,200,"DE",-18319.4985534061
"36.3",2000,200,"DE",-18604.2222651714
"36.4",2000,200,"DE",-18455.9818841847
"36.5",2000,200,"DE",-18766.67799543
"36.6",2000,200,"DE",-18699.3396031847
"36.7",2000,200,"DE",-18456.3895400955
