"","iter","swarm","algorithm","loglikelihood"
"14.1",250,50,"DE",-448.255158015185
"14.2",250,50,"DE",-448.199819146681
"14.3",250,50,"DE",-448.199836775136
"14.4",250,50,"DE",-448.200548008699
"14.5",250,50,"DE",-448.201649649126
"14.6",250,50,"DE",-448.212866354237
"14.7",250,50,"DE",-448.211438603617
"14.8",250,50,"DE",-448.209351312165
"14.9",250,50,"DE",-448.197365306017
"15",500,50,"DE",-448.197298943378
"15.1",500,50,"DE",-448.197297662731
"15.2",500,50,"DE",-448.197335164053
"15.3",500,50,"DE",-448.197297396149
"15.4",500,50,"DE",-448.205351124544
"15.5",500,50,"DE",-448.197300504105
"15.6",500,50,"DE",-448.198038872085
"15.7",500,50,"DE",-448.197538683837
"15.8",500,50,"DE",-448.19745588152
"15.9",500,50,"DE",-448.197307245106
"16",750,50,"DE",-448.197302336918
"16.1",750,50,"DE",-448.197370356254
"16.2",750,50,"DE",-448.197568920818
"16.3",750,50,"DE",-448.19729453338
"16.4",750,50,"DE",-448.197300591454
"16.5",750,50,"DE",-448.19729645808
"16.6",750,50,"DE",-448.197329795229
"16.7",750,50,"DE",-448.197294533033
"16.8",750,50,"DE",-448.197304247415
"16.9",750,50,"DE",-448.19736215583
"17",1000,50,"DE",-448.197762835858
"17.1",1000,50,"DE",-448.19729460505
"17.2",1000,50,"DE",-448.197774080723
"17.3",1000,50,"DE",-448.197294557258
"17.4",1000,50,"DE",-448.197489273525
"17.5",1000,50,"DE",-448.197373509219
"17.6",1000,50,"DE",-448.197294545545
"17.7",1000,50,"DE",-448.197294533402
"17.8",1000,50,"DE",-448.19729459296
"17.9",1000,50,"DE",-448.197297987847
"18",2000,50,"DE",-448.197294532854
"18.1",2000,50,"DE",-448.197294532854
"18.2",2000,50,"DE",-448.197294729358
"18.3",2000,50,"DE",-448.197294619016
"18.4",2000,50,"DE",-448.197294739806
"18.5",2000,50,"DE",-448.197296941205
"18.6",2000,50,"DE",-448.197303112328
"18.7",2000,50,"DE",-448.197302498541
"18.8",2000,50,"DE",-448.197294589718
"18.9",2000,50,"DE",-448.197294608508
"19",100,75,"DE",-448.463887137703
"19.1",100,75,"DE",-448.341594316567
"19.2",100,75,"DE",-449.064140219139
"19.3",100,75,"DE",-448.303529716586
"19.4",100,75,"DE",-448.34823617849
"19.5",100,75,"DE",-449.153170509901
"19.6",100,75,"DE",-448.287842683593
"19.7",100,75,"DE",-451.204397328588
"19.8",100,75,"DE",-448.459621376263
"19.9",100,75,"DE",-449.045855577998
"20",250,75,"DE",-448.202472049566
"20.1",250,75,"DE",-448.223310480965
"20.2",250,75,"DE",-448.197900242067
"20.3",250,75,"DE",-448.215910067973
"20.4",250,75,"DE",-448.217263959525
"20.5",250,75,"DE",-448.213364246462
"20.6",250,75,"DE",-448.202397990776
"20.7",250,75,"DE",-448.198540203329
"20.8",250,75,"DE",-448.19747983489
"20.9",250,75,"DE",-448.204636494049
"21",500,75,"DE",-448.197363031723
"21.1",500,75,"DE",-448.197322611937
"21.2",500,75,"DE",-448.197410164958
"21.3",500,75,"DE",-448.197412201097
"21.4",500,75,"DE",-448.197378679162
"21.5",500,75,"DE",-448.197303804765
"21.6",500,75,"DE",-448.197321554658
"21.7",500,75,"DE",-448.197863809665
"21.8",500,75,"DE",-448.197294865715
"21.9",500,75,"DE",-448.197450723298
"22",750,75,"DE",-448.19731496688
"22.1",750,75,"DE",-448.197297875864
"22.2",750,75,"DE",-448.197368108487
"22.3",750,75,"DE",-448.203995454983
"22.4",750,75,"DE",-448.197357609075
"22.5",750,75,"DE",-448.19734996947
"22.6",750,75,"DE",-448.197629506724
"22.7",750,75,"DE",-448.197297445103
"22.8",750,75,"DE",-448.197295010192
"22.9",750,75,"DE",-448.197325512035
"23",1000,75,"DE",-448.197298638469
